timestamp,EA,AVB,MCO,STX,APD,REG,HPQ,AMT,BALL,VRSK,CHRW,HBAN,ROL,FDS,NEM,IVZ,FDX,TRV,YUM,BLK,IDXX,NVR,GL,SEE,CNC,PGR,PHM,CSX,DGX,UAL,AMZN,CF,USB,VLO,SNA,GM,MCHP,SJM,GE,CBRE,PLD,CDW,RHI,HAS,KEYS,ACN,PEAK,ILMN,NWSA,AZO
2020-01-01,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52
2020-02-01,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52
2020-03-01,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52
2020-07-01,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79
2020-08-01,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79
2020-10-01,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72,16.72
2021-01-01,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64
2021-02-01,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64
2021-03-01,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57
2021-05-01,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57
