nemotecnico;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social;moneda
TUVT32160649;20170616;20490616;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA;UVR
TUVT20250333;20130325;20330325;AV;3;GNA;GOBIERNO REPUBLICA DE COLOMBIA;UVR
TUVT20040435;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA;UVR
TUVT18250237;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA;UVR
TUVT17230223;20060223;20230223;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA;UVR
TUVT11170327;20160317;20270317;AV;3.3;GNA;GOBIERNO REPUBLICA DE COLOMBIA;UVR
TUVT11070525;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA;UVR
TUVT10180429;20190418;20290418;AV;2.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA;UVR
TFIT31261050;20191026;20501026;AV;7.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT21280542;20210528;20420528;AV;9.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT16300632;20160630;20320630;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT16280428;20120428;20280428;AV;6;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT16240724;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT16181034;20181018;20341018;AV;7.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT16180930;20140918;20300918;AV;7.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT16090736;20200709;20360709;AV;6.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT15260826;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT10260331;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT08261125;20171126;20251126;AV;6.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
TFIT08031127;20191103;20271103;AV;5.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA;COP
BVJI120SC005;20200129;20250129;TV;6.85;VJI;CARVAJAL S.A.;COP
BVISA120SA09;20200813;20290813;TV;6.33;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BVFAN0228D24;20220317;20240317;MV;3.45;FAN;BANCO FINANDINA S.A.;COP
