fecha_hora;nemotecnico;cantidad;monto;precio_limpio;tasa;rueda;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social
2022-09-14:16:05:28.003854;BGLT31180937;2265000;9852146763;94.9;8.121;TRD;20060918;20370918;SV;7.375;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:26:12.990614;BCOS919SE004;1000000000;972640000;97.145;13;TRD;20190307;20230307;TV;6.3;CHB;ENEL COLOMBIA S.A. E.S.P.
2022-09-14:13:15:01.003041;TUVT20040435;5000000;1441292323;89.519;5.955;TRD;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:13:43.990585;BDVI4179C084;100000000;96654000;96.318;17.08;TRD;20170607;20240607;TV;3.13;DVI;BANCO DAVIVIENDA S.A
2022-09-14:13:13:43.990584;BDVI4179C084;100000000;96654000;96.318;17.08;TRD;20170607;20240607;TV;3.13;DVI;BANCO DAVIVIENDA S.A
2022-09-14:13:12:15.003032;TFIT16090736;1546600000;935590924;59.329;12.6;TRD;20200709;20360709;AV;6.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:09:33.003023;TUVT11170327;5000000;1526419650;95.382;4.45;TRD;20160317;20270317;AV;3.3;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:09:27.003021;TUVT18250237;40000000;10183059297;78.836;5.975;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:06:49.990574;BBOC1069B144;550000000;498824416;90.695;18.56;TRD;20161026;20281026;TV;3.9;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:13:06:49.990573;BBOC1069B144;550000000;497383150;90.433;18.56;TRD;20161026;20281026;TV;3.9;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:13:05:59.002999;TUVT20040435;5000000;1440663214;89.479;5.96;TRD;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:05:41.002992;TUVT18250237;10000000;2544686949;78.833;5.975;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:05:30.002990;TUVT18250237;50000000;12704246913;78.711;5.99;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:04:47.002983;TFIT10260331;500000000;374778000;71.657;12.587;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:04:40.002982;TUVT18250237;10000000;2545976622;78.874;5.97;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:04:39.002981;TFIT10260331;1500000000;1124334000;71.657;12.587;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:03:30.002978;TFIT16240724;1000000000;984257000;97.001;11.849;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:01:35.002951;TUVT18250237;10000000;2542893987;78.776;5.982;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:13:01:21.990558;BBOC1179B144;500000000;446880684;89.376;18.5;TRD;20170427;20290427;TV;3.66;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:13:01:21.990557;BBOC1179B144;500000000;445589500;89.117;18.5;TRD;20170427;20290427;TV;3.66;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:13:01:12.002949;TUVT20040435;5000000;1440647486;89.478;5.96;TRD;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:57:54.990548;BBBO2219A005;121000000;105359540;86.016;18.189;TRD;20210210;20260210;TV;1.16;BBO;BANCO DE BOGOTA S.A.
