ACN;AMT;AMZN;APD;AVB;AZO;BALL;BLK;CBRE;CDW;CF;CHRW;CNC;CSX;DGX;EA;FDS;FDX;GE;GL;GM;HAS;HBAN;HPQ;IDXX;ILMN;IVZ;KEYS;MCHP;MCO;NEM;NVR;NWSA;PEAK;PGR;PHM;PLD;REG;RHI;ROL;SEE;SJM;SNA;STX;TRV;UAL;USB;VLO;VRSK;YUM
93.413;84.149;33.794;101.727;146.891;741.91;34.308;285.599;34.58;38.971;33.048;52.492;32.905;7.812;61.82;68.005;151.29;136.809;213.606;53.918;28.0;55.923;8.459;9.508;72.92;191.95;24.767;28.33;20.714;93.416;15.471;1643.0;12.133;24.988;25.664;16.135;35.318;52.981;41.199;10.568;40.254;102.155;147.19;25.522;95.916;57.3;34.449;52.336;75.009;46.365
94.343;82.314;29.35;99.675;137.743;767.39;31.525;265.164;27.97;35.644;24.294;55.212;31.03;6.93;57.066;63.878;140.244;122.224;201.041;51.258;24.659;61.668;6.603;7.877;70.14;157.95;22.141;23.4;19.944;82.989;17.187;1651.0;11.779;23.485;25.22;15.251;32.791;56.302;38.254;11.241;36.685;106.28;138.716;20.224;91.461;48.28;32.534;50.234;71.224;45.934
89.623;80.447;27.626;104.206;137.864;774.57;31.242;263.223;25.41;36.691;29.526;59.525;28.48;7.267;58.138;63.571;140.048;125.903;201.317;48.429;24.493;63.391;6.734;8.672;73.16;150.24;19.781;26.09;19.801;82.673;22.242;1637.0;9.827;19.329;25.761;15.642;31.952;54.894;34.426;11.233;41.392;105.659;124.214;21.832;91.871;57.26;31.284;44.468;71.068;46.303
103.157;89.32;29.682;113.315;152.771;796.69;33.694;287.364;28.82;38.578;25.65;63.276;30.785;7.809;62.437;65.422;141.432;149.671;221.383;51.209;26.149;66.925;7.342;9.994;78.32;162.11;22.997;27.74;21.635;90.296;22.887;1732.4;11.598;21.629;29.189;17.025;36.704;58.63;40.939;11.108;43.456;108.107;135.352;24.462;99.723;59.86;32.965;47.938;77.975;52.297
100.94;91.51;32.979;115.447;143.033;765.23;33.737;302.784;29.63;35.789;27.066;60.867;30.98;8.27;65.688;61.206;140.704;152.137;214.141;54.876;26.788;70.719;7.798;10.066;84.35;134.99;23.176;26.08;21.81;89.511;30.14;1661.29;11.383;22.458;27.079;16.818;38.104;57.729;33.671;11.006;42.988;105.726;137.327;15.458;94.426;45.81;34.889;44.0;75.692;50.833
107.381;92.746;36.139;112.875;145.533;762.2;34.171;309.174;29.85;39.563;22.638;64.306;31.175;8.015;67.809;75.951;148.469;152.008;210.52;58.421;26.35;73.362;8.101;10.976;87.57;144.83;23.468;30.63;23.197;92.241;27.934;1733.0;10.962;21.821;27.661;17.157;39.883;60.0;36.554;11.641;42.153;107.533;139.517;16.019;98.069;45.09;34.995;40.883;77.458;52.746
102.254;99.611;35.781;112.4;145.946;793.84;34.229;291.057;26.48;37.352;19.92;63.68;35.685;7.965;71.535;74.971;151.141;139.854;219.224;58.601;23.84;70.589;6.93;10.295;92.86;140.38;19.268;29.09;22.955;87.978;33.717;1780.34;10.403;23.875;27.827;17.824;41.15;66.01;33.726;12.033;41.726;127.551;136.576;17.86;102.279;41.04;32.96;38.529;79.107;53.279
101.821;102.008;37.94;118.989;151.369;813.97;33.462;313.18;28.45;40.008;20.4;60.053;35.275;8.652;75.885;75.526;161.01;149.552;218.5;58.789;26.907;68.269;7.419;11.6;93.79;166.35;22.014;29.24;25.161;99.526;37.95;1705.0;11.887;26.474;27.005;19.464;46.116;66.956;32.294;11.585;42.972;129.015;136.013;23.483;100.444;46.89;34.692;39.496;83.205;57.455
103.798;99.902;38.458;123.926;142.694;741.8;37.496;318.789;29.89;41.611;21.491;59.881;34.145;8.637;73.133;80.384;166.693;152.351;219.201;61.459;27.232;69.133;7.817;11.898;112.68;168.34;23.531;30.43;27.997;102.042;32.982;1686.8;12.886;26.541;27.046;19.638;44.948;63.495;33.876;11.717;42.927;118.663;132.656;24.737;102.596;50.41;36.321;41.816;81.029;58.597
110.269;99.858;41.866;119.721;145.001;768.34;38.867;311.838;27.98;42.72;20.411;61.156;33.48;9.374;74.732;84.511;152.206;161.357;207.834;60.708;27.104;67.095;7.7;12.858;112.73;181.66;23.814;31.69;28.268;102.02;33.888;1639.87;12.813;25.992;26.166;18.416;45.312;61.472;33.653;12.081;41.876;113.988;132.035;28.263;99.0;52.47;35.285;40.489;79.302;58.661
